"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","key_press","response","button_pressed","reward_s01","reward_s02","feedback01","feedback02","listcross"
"pavlovia","0","2","0.0-0.0","","","","","","","","","","",""
"fullscreen","1","2816","0.0-1.0","true","","","","","","","","","",""
"html-keyboard-response","2","10507","0.0-2.0-0.0","","7690.005000000383","<p style='text-align:left'>今日は実験に協力していただきありがとうございます</p><p style='text-align:left'>実験に入る前に、最近一週間の気分を教えてください</p><p style='text-align:left'>次に進むには、スペースキーを押してください</p>","32","","","","","","",""
"html-slider-response","3","13176","0.0-2.0-1.0","","1667.234999998982","<p>今どれくらい楽しいかを教えてください</p>","","0","","","","","",""
"html-keyboard-response","4","15177","0.0-2.0-2.0","","null","<p style=""font-size: 48px"">+</p>","null","","","","","","",""
"html-keyboard-response","5","16085","0.0-3.0","","907.4799999998504","<p style='text-align:left'>私たちは皆、報酬の見方が異なり、リスクを冒すことをいとわない人もいます</p><p style='text-align:left'>できるだけ多くのお金をもらうように頑張ってください</p><p style='text-align:left'>　</p><p style='text-align:left'>次に進むには、スペースキーを押してください</p>","32","","","","","","",""
"html-keyboard-response","6","27853","0.0-4.0","","10767.149999999674","<p style='text-align:left'>左を選択するとの書かれた金額がもらいます</p><p style='text-align:left'> </p><p style='text-align:left'>右を選択すると半分半分の確率で、上か下かどちらの金額がもらいます</p><p style='text-align:left'>※※３秒内に選択しないと、一番悪い結果になります※※</p><p style='text-align:left'>　</p><p style='text-align:left'>ゲームの途中で今の気持ちが聞かれます</p><p style='text-align:left'>※※４秒内に棒をいじって、確定ボタンを押してください※※</p><p style='text-align:left'>本番に入る前に、練習をやってもらいます、準備がてきたらスペースキーを押してください</p>","32","","","","","","",""
"html-button-response","7","29725","0.0-5.0-0.0","","870.8100000003469","","","","4","60","0","216","0","7"
"html-keyboard-response","8","34230","0.0-5.0-1.0","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥216</p><p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥0</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","9","35240","0.0-5.0-2.0","","null","<p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥0</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","10","37341","0.0-5.0-3.0","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-button-response","11","40357","0.0-5.0-0.1","","null","","","","null","50","140","140","0","7"
"html-keyboard-response","12","44859","0.0-5.0-1.1","","null","<p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥0</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","13","45868","0.0-5.0-2.1","","null","<p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥0</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","14","50778","0.0-5.0-3.1","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","15","52781","0.0-6.0-0.0","","null","<p>今どれくらい楽しいかを教えてください</p>","null","","","","","","",""
"html-slider-response","16","54171","0.0-6.0-1.0","","1389.274999999543","<p>今どれくらい楽しいかを教えてください</p>","","0","","","","","",""
"html-keyboard-response","17","58373","0.0-6.0-2.0","","null","<p style=""font-size: 48px"">+</p>","null","","","","","","",""
"html-button-response","18","60526","0.0-7.0-0.0","","2151.209999999992","","","","4","-40","0","0","-72.8","4"
"html-keyboard-response","19","65037","0.0-7.0-1.0","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥0</p><p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥-72.8</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","20","66046","0.0-7.0-2.0","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥0</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","21","68847","0.0-7.0-3.0","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-button-response","22","70117","0.0-7.0-0.1","","1267.8550000000541","","","","4","-30","0","0","-50.4","4"
"html-keyboard-response","23","74619","0.0-7.0-1.1","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥0</p><p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥-50.4</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","24","75633","0.0-7.0-2.1","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥0</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","25","80540","0.0-7.0-3.1","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
