Trial,reward1,reward2,feedback1,feedback2,f_reward,happiness,CR,EV,RPE
1,0,65.6,65.6,-65.6,65.6,0,0,0.0,65.6
2,0,-16,16,-16,-16,29,0,0.0,-16.0
3,0,32,32,-32,32,,0,0.0,32.0
4,0,100,100,-100,100,78,0,0.0,100.0
5,0,225,225,-225,225,,0,0.0,225.0
6,-40,-88,0,-88,-88,44,0,-44.0,-44.0
7,50,0,124,0,0,,0,62.0,-62.0
8,0,-78,78,-78,-78,1,0,0.0,-78.0
9,0,41,41,-41,41,,0,0.0,41.0
10,-40,0,0,-112,-112,,0,-56.0,-56.0
11,-60,0,0,-133.2,0,0,0,-66.6,66.6
12,0,33,33,-33,33,,0,0.0,33.0
13,40,0,200,0,0,0,0,100.0,-100.0
14,-30,-84,0,-84,-30,,-30,0,0
15,50,84,84,0,84,,0,42.0,42.0
16,50,0,180,0,0,20,0,90.0,-90.0
17,0,72.6,72.6,-72.6,72.6,,0,0.0,72.6
18,0,19.8,19.8,-19.8,19.8,,0,0.0,19.8
19,50,0,91,0,0,68,0,45.5,-45.5
20,60,133.2,133.2,0,133.2,,0,66.6,66.6
21,30,0,74.4,0,0,63,0,37.2,-37.2
22,20,0,100,0,0,,0,50.0,-50.0
23,0,-20,20,-20,-20,0,0,0.0,-20.0
24,0,33,33,-33,33,,0,0.0,33.0
25,-40,0,0,-67.2,0,30,0,-33.6,33.6
26,30,108,108,0,108,,0,54.0,54.0
27,-30,0,0,-66.6,-30,77,-30,0,0
28,-30,-108,0,-108,-30,,-30,0,0
29,-60,0,0,-252,-60,,-60,0,0
30,0,12,12,-12,12,66,0,0.0,12.0
31,-20,-49.6,0,-49.6,-49.6,,0,-24.8,-24.8
32,60,0,216,0,0,,0,108.0,-108.0
33,50,140,140,0,140,86,0,70.0,70.0
34,-40,0,0,-72.8,0,,0,-36.4,36.4
35,-30,0,0,-50.4,0,,0,-25.2,25.2
36,50,111,111,0,111,78,0,55.5,55.5
37,30,0,94.8,0,0,,0,47.4,-47.4
38,20,36.4,36.4,0,20,76,20,0,0
39,-60,0,0,-168,-60,,-60,0,0
40,60,189.6,189.6,0,189.6,,0,94.8,94.8
41,0,-220,220,-220,-220,80,0,0.0,-220.0
42,0,60,60,-60,60,,0,0.0,60.0
43,-30,0,0,-66,0,24,0,-33.0,33.0
44,30,66.6,66.6,0,66.6,,0,33.3,33.3
45,60,0,109.2,0,0,50,0,54.6,-54.6
46,50,0,110,0,0,,0,55.0,-55.0
47,0,60,60,-60,60,,0,0.0,60.0
48,0,6,6,-6,6,50,0,0.0,6.0
49,-20,0,0,-56,-20,,-20,0,0
50,0,-15,15,-15,-15,44,0,0.0,-15.0
51,40,0,112,0,0,,0,56.0,-56.0
52,20,33.6,33.6,0,33.6,,0,16.8,16.8
53,-50,0,0,-140,-50,61,-50,0,0
54,0,-96,96,-96,-96,,0,0.0,-96.0
55,30,0,84,0,0,,0,42.0,-42.0
56,0,60,60,-60,60,50,0,0.0,60.0
57,-40,0,0,-144,-40,,-40,0,0
58,-40,-99.2,0,-99.2,-99.2,77,0,-49.6,-49.6
59,-30,-94.8,0,-94.8,-94.8,,0,-47.4,-47.4
60,-30,-74.4,0,-74.4,-74.4,77,0,-37.2,-37.2
