Trial,reward1,reward2,feedback1,feedback2,f_reward,happiness,CR,EV,RPE
1,0,-88,88,-88,-88,50,0,0.0,-88.0
2,-60,-132,0,-132,-132,50,0,-66.0,-66.0
3,30,94.8,94.8,0,0,,0,47.4,-47.4
4,-30,-108,0,-108,-30,69,-30,0,0
5,0,-16,16,-16,-16,,0,0.0,-16.0
6,0,99,99,-99,0,50,0,0,0
7,60,0,148.8,0,0,,0,74.4,-74.4
8,-40,0,0,-67.2,-67.2,8,0,-33.6,-33.6
9,-50,0,0,-110,0,,0,-55.0,55.0
10,-30,-66.6,0,-66.6,-30,,-30,0,0
11,-50,0,0,-140,0,50,0,-70.0,70.0
12,-30,-150,0,-150,-150,,0,-75.0,-75.0
13,0,-123,123,-123,-123,18,0,0.0,-123.0
14,-20,0,0,-84,0,,0,-42.0,42.0
15,40,168,168,0,168,,0,84.0,84.0
16,-20,-100,0,-100,-100,50,0,-50.0,-50.0
17,-50,-250,0,-250,-50,,-50,0,0
18,40,0,67.2,0,0,,0,33.6,-33.6
19,50,0,180,0,0,57,0,90.0,-90.0
20,0,-30,30,-30,0,,0,0,0
21,50,91,91,0,50,65,50,0,0
22,0,180,180,-180,0,,0,0,0
23,-30,-126,0,-126,-126,18,0,-63.0,-63.0
24,-50,-180,0,-180,-180,,0,-90.0,-90.0
25,-30,0,0,-74.4,0,38,0,-37.2,37.2
26,0,-165,165,-165,-165,,0,0.0,-165.0
27,40,0,88,0,40,38,40,0,0
28,-40,-88.8,0,-88.8,-88.8,,0,-44.4,-44.4
29,60,168,168,0,60,,60,0,0
30,20,84,84,0,20,50,20,0,0
31,40,0,112,0,40,,40,0,0
32,-40,0,0,-112,-40,,-40,0,0
33,20,56,56,0,20,35,20,0,0
34,40,200,200,0,200,,0,100.0,100.0
35,-50,-124,0,-124,-124,,0,-62.0,-62.0
36,0,19.8,19.8,-19.8,0,62,0,0,0
37,20,0,33.6,0,20,,20,0,0
38,0,12,12,-12,0,61,0,0,0
39,0,-132,132,-132,-132,,0,0.0,-132.0
40,-40,0,0,-99.2,0,,0,-49.6,49.6
41,0,-225,225,-225,-225,39,0,0.0,-225.0
42,30,0,84,0,30,,30,0,0
43,40,0,72.8,0,40,61,40,0,0
44,0,-24,24,-24,0,,0,0,0
45,-40,0,0,-144,0,35,0,-72.0,72.0
46,30,50.4,50.4,0,30,,30,0,0
47,-20,0,0,-63.2,-20,,-20,0,0
48,30,74.4,74.4,0,30,61,30,0,0
49,20,72,72,0,20,,20,0,0
50,-60,-100.8,0,-100.8,-100.8,39,0,-50.4,-50.4
51,30,0,54.6,0,30,,30,0,0
52,40,0,99.2,0,0,,0,49.6,-49.6
53,0,22,22,-22,0,55,0,0,0
54,0,60,60,-60,0,,0,0,0
55,-40,0,0,-200,-40,,-40,0,0
56,60,0,216,0,60,58,60,0,0
57,0,220,220,-220,220,,0,0.0,220.0
58,-20,0,0,-36.4,-20,61,-20,0,0
59,0,75,75,-75,0,,0,0,0
60,0,-44,44,-44,0,50,0,0,0
61,50,0,111,0,50,,50,0,0
62,0,9,9,-9,0,,0,0,0
63,0,96,96,-96,96,43,0,0.0,96.0
64,40,126.4,126.4,0,126.4,,0,63.2,63.2
65,60,0,189.6,0,60,,60,0,0
66,0,41,41,-41,0,60,0,0,0
67,0,-15.6,15.6,-15.6,0,,0,0,0
68,0,100,100,-100,0,50,0,0,0
69,-40,-72.8,0,-72.8,-72.8,,0,-36.4,-36.4
70,50,0,140,0,0,,0,70.0,-70.0
71,0,-15,15,-15,0,50,0,0,0
72,60,133.2,133.2,0,60,,60,0,0
73,-50,-158,0,-158,-158,,0,-79.0,-79.0
74,0,-160,160,-160,0,57,0,0,0
75,0,-32,32,-32,0,,0,0,0
76,0,-24.6,24.6,-24.6,0,36,0,0,0
77,-30,-50.4,0,-50.4,-30,,-30,0,0
